profile_name
Caramelo
Dulzón
Cítrico
Cuerpo Medio
Cuerpo Alto
Acidez
Acidez media
Acidez Buena
Acidez Balanceada
Cafe altura
Cafe orgánico
Taza limpia
Panela
Frutales
Florales
Amargo moderado
Avinados
Ahumados
Picante similar al anis
