variety_name
Arábica
Blue Mountain
Bourbon
Castillo
Catimor
Catuai
Caturra
Ethiopian Heirloom
Excelsa
Geisha/Panamá
Harrar
Herencia Etíope
Java
Jember
Liberica
Maragogype
Moka
Mundo Novo
Pacamara
Robusta
Sidamo
SL24
SL34
Sumatra Mandheling
Tekisik
Toraja Kalosi
Typica
Villa Sarchi
Yirgacheffe
