id_state, state_name, cx, cy, xmin, xmax, ymin, ymax
780, ANTIOQUIA, -75.56493823295534, 6.922764615873602, -77.12783197110866, -73.88128210203735, 5.418558387831321, 8.873973717755351
783, ATLÁNTICO, -74.9652266488767, 10.67698867157883, -75.24952104148059, -74.71833017092321, 10.253286071235431, 11.105370385599858
785, BOLÍVAR, -74.50734010219296, 8.743718262906503, -75.70325229208775, -73.74578008435722, 6.99915985627334, 10.80146703190448
786, BOYACÁ, -73.10279621820195, 5.775756459767429, -74.66496042787459, -71.9495970640051, 4.655195693097539, 7.055557178872602
787, CALDAS, -75.30685015207808, 5.342067545754943, -75.92251011788004, -74.62745595970038, 4.799699846762253, 5.779181504239116
788, CAQUETÁ, -73.96631873639083, 0.8295979759919039, -76.3062212623111, -71.253845904344, -0.7058400437039757, 2.9383335159260926
790, CAUCA, -76.83068719603754, 2.3979493332932007, -77.9283381527739, -75.74782424722925, 0.9580284644383605, 3.3289411577604913
791, CESAR, -73.5177474787295, 9.536860085196405, -74.13915999020547, -72.88576555596454, 7.674350063878473, 10.867787984324513
793, CÓRDOBA, -75.79200483837735, 8.35857978603516, -76.51453012825662, -74.78094539276763, 7.347087268220046, 9.447748100977051
794, CUNDINAMARCA, -74.10335917928106, 4.789632895894709, -74.89062890500247, -73.05255695699047, 3.730129004220021, 5.837257538725557
792, CHOCÓ, -76.93653726466746, 5.947777379385455, -77.8837763005824, -76.001845701914, 3.9648832126257005, 8.677729527627635
798, LA GUAJIRA, -72.4292776559321, 11.47698970018281, -73.66492733777433, -71.1129583950134, 10.396759352268546, 12.459443308151185
799, MAGDALENA, -74.2617361058632, 10.247401601686967, -74.94659965943491, -73.54183790763759, 8.936489178171698, 11.348912069919962
800, META, -72.91603731955638, 3.3941464957631475, -74.93551300201212, -71.07752569626383, 1.6177319441457167, 4.899101333818456
802, NORTE DE SANTANDER, -72.88185270616253, 8.095214557982198, -73.63379185885077, -72.04759133091983, 6.8722012379933775, 9.291287658663146
804, QUINDÍO, -75.68962768200926, 4.455241626856827, -75.8957956257055, -75.38317170693787, 4.07531068839265, 4.7213604051038205
805, RISARALDA, -75.84214385713426, 5.083341033937482, -76.21142656876756, -75.3754990699747, 4.66317252915018, 5.567753970943399
806, SANTANDER, -73.48601443164303, 6.693647368671868, -74.52895432162627, -72.47705870740477, 5.707536031664371, 8.145010135053132
807, SUCRE, -75.10977665124008, 9.06492331074502, -75.70442560158864, -74.53259760183694, 8.277881790654497, 10.145482636435627
808, TOLIMA, -75.25582506002159, 4.03477319911799, -76.10574140003514, -74.47482490444908, 2.871080699054481, 5.3193416142392
809, VALLE DEL CAUCA, -76.51866508809363, 3.858852104724819, -77.54977284343735, -75.70723569605519, 3.0912385235573057, 5.047393612344787
781, ARAUCA, -70.96651916175063, 6.5685916352938065, -72.36662389725828, -69.42884874140029, 6.036227818221397, 7.10241744582306
789, CASANARE, -71.60188120833433, 5.404063946052996, -73.07776852493407, -69.83590992218369, 4.2874759857347176, 6.346110867604945
803, PUTUMAYO, -75.86179021183256, 0.457947122320157, -77.18680573174261, -73.84131793342733, -0.5527005539012467, 1.467315267273541
779, AMAZONAS, -71.49899288418032, -1.5373448817370152, -74.38762946950742, -69.3966522978021, -4.225938439236972, 0.09725685586113086
795, GUAINÍA, -68.81756067588495, 2.727679160720701, -70.94249237967648, -66.85688958419645, 1.165486926964242, 4.041949328825134
796, GUAVIARE, -72.12772975457034, 1.924507667845648, -73.66390880277702, -69.99510700179543, 0.6554125812892083, 2.924986712838062
810, VAUPÉS, -70.5625147303923, 0.6456944267170949, -72.0331922226, -69.11863134196449, -1.227884199157973, 2.0804010591865136
811, VICHADA, -69.42105922308694, 4.707759070691769, -71.07793104513578, -67.42365626298134, 2.7371090263210034, 6.304822511968313
801, NARIÑO, -77.8705621813768, 1.572195364660047, -79.01021097127011, -76.83368053723238, 0.36241975087966316, 2.6838980691344463
797, HUILA, -75.59650454605588, 2.5650828667285452, -76.62466264670934, -74.41303179284421, 1.552133559836468, 3.843208042773385
